Body Regions|A01
Anatomic Landmarks|A01.111
Breast|A01.236
Mammary Glands, Human|A01.236.249,A10.336.532
Nipples|A01.236.500
Extremities|A01.378
Amputation Stumps|A01.378.100
Lower Extremity|A01.378.610
Ankle|A01.378.610.050
Buttocks|A01.378.610.100
Foot|A01.378.610.250
Forefoot, Human|A01.378.610.250.300
Metatarsus|A01.378.610.250.300.480
Toes|A01.378.610.250.300.792
Hallux|A01.378.610.250.300.792.380
Heel|A01.378.610.250.510
Hip|A01.378.610.400
Knee|A01.378.610.450
Leg|A01.378.610.500
Thigh|A01.378.610.750
Upper Extremity|A01.378.800
Arm|A01.378.800.075
Axilla|A01.378.800.090
Elbow|A01.378.800.420
Forearm|A01.378.800.585
Hand|A01.378.800.667
Fingers|A01.378.800.667.430
Thumb|A01.378.800.667.430.705
Metacarpus|A01.378.800.667.572
Shoulder|A01.378.800.750
Wrist|A01.378.800.875
Head|A01.456
Ear|A01.456.313,A09.246
Face|A01.456.505
Cheek|A01.456.505.173,A14.194
Chin|A01.456.505.259,A02.835.232.781.324.502.632.130,A14.521.632.300
Eye|A01.456.505.420,A09.371
Eyebrows|A01.456.505.420.338,A17.360.296
Eyelids|A01.456.505.420.504,A09.371.337
Eyelashes|A01.456.505.420.504.421,A09.371.337.338,A17.360.421
Forehead|A01.456.505.580
Mouth|A01.456.505.631,A03.556.500,A14.549
Lip|A01.456.505.631.515,A14.549.336
Nasolabial Fold|A01.456.505.682
Nose|A01.456.505.733,A04.531,A09.531
Parotid Region|A01.456.505.750
Superficial Musculoaponeurotic System|A01.456.505.875,A01.598.500
Scalp|A01.456.810
Skull Base|A01.456.830,A02.835.232.781.750
Cranial Fossa, Anterior|A01.456.830.150,A02.835.232.781.750.150
Cranial Fossa, Middle|A01.456.830.165,A02.835.232.781.750.165
Cranial Fossa, Posterior|A01.456.830.200,A02.835.232.781.750.400
Jugular Foramina|A01.456.830.200.500,A02.835.232.781.750.400.500
Infratemporal Fossa|A01.456.830.600,A02.835.232.781.750.700
Parapharyngeal Space|A01.456.830.800,A01.598.250,A02.835.232.781.750.850
Neck|A01.598
Organs at Risk|A01.635
Perineum|A01.719
Torso|A01.923
Abdomen|A01.923.047
Abdominal Cavity|A01.923.047.025
Peritoneum|A01.923.047.025.600,A10.615.789.596
Douglas' Pouch|A01.923.047.025.600.225
Mesentery|A01.923.047.025.600.451
Mesocolon|A01.923.047.025.600.451.535
Omentum|A01.923.047.025.600.573
Peritoneal Cavity|A01.923.047.025.600.678
Peritoneal Stomata|A01.923.047.025.600.700,A10.810
Retroperitoneal Space|A01.923.047.025.750
Abdominal Wall|A01.923.047.050,A01.923.112.125
Groin|A01.923.047.365
Inguinal Canal|A01.923.047.412
Umbilicus|A01.923.047.849
Abdominal Core|A01.923.112
Diaphragm|A01.923.112.250,A02.633.567.900.300
Pelvic Floor|A01.923.112.500,A01.923.600.600,A02.633.567.050.750
Back|A01.923.176
Lumbosacral Region|A01.923.176.519
Sacrococcygeal Region|A01.923.176.780
Pelvis|A01.923.600
Lesser Pelvis|A01.923.600.500
Thorax|A01.923.761
Thoracic Cavity|A01.923.761.800
Mediastinum|A01.923.761.800.500
Pleural Cavity|A01.923.761.800.650
Thoracic Wall|A01.923.761.850
Transplant Donor Site|A01.935
Transplants|A01.941
Allografts|A01.941.500
Allogeneic Cells|A01.941.500.500,A11.047
Autografts|A01.941.750
Bone-Patellar Tendon-Bone Grafts|A01.941.812
Composite Tissue Allografts|A01.941.843
Heterografts|A01.941.875
Isografts|A01.941.937
Trigger Points|A01.947
Viscera|A01.960
Musculoskeletal System|A02
Aponeurosis|A02.083
Cartilage|A02.165,A10.165.382
Elastic Cartilage|A02.165.257,A10.165.382.300
Ear Cartilage|A02.165.257.250,A09.246.272.549
Laryngeal Cartilages|A02.165.257.625,A02.165.407.500,A04.329.591
Arytenoid Cartilage|A02.165.257.625.083,A02.165.407.500.083,A04.329.591.085
Cricoid Cartilage|A02.165.257.625.211,A02.165.407.500.211,A04.329.591.211
Epiglottis|A02.165.257.625.411,A02.165.407.500.411,A04.329.591.411
Thyroid Cartilage|A02.165.257.625.870,A02.165.407.500.870,A04.329.591.870
Fibrocartilage|A02.165.308,A10.165.382.350
Intervertebral Disc|A02.165.308.410,A02.835.232.834.432,A10.165.382.350.050
Annulus Fibrosus|A02.165.308.410.250,A02.835.232.834.432.250,A10.165.382.350.050.250
Nucleus Pulposus|A02.165.308.410.500,A02.835.232.834.432.500,A10.165.382.350.050.500
Meniscus|A02.165.308.538,A10.165.382.350.163
Menisci, Tibial|A02.165.308.538.500,A02.835.583.475.590,A10.165.382.350.163.500
Palmar Plate|A02.165.308.575,A02.835.583.405.500.900,A02.835.583.512.400,A10.165.382.350.200
Plantar Plate|A02.165.308.650,A02.513.514.538,A02.835.583.378.531.500,A02.835.583.378.900.500,A02.835.583.512.538,A10.165.382.350.400,A10.165.669.514.538
Triangular Fibrocartilage|A02.165.308.800,A02.835.583.405.930.800,A10.165.382.350.800
Hyaline Cartilage|A02.165.407,A10.165.382.400
